Game 00000: Roll: 91, Reward: 1.010204081632653, Nonce: 0, Client-Seed: 1337awesome, Server-Seed: 1888431046
Game 00001: Roll: 90, Reward: 1.010204081632653, Nonce: 1, Client-Seed: 1337awesome, Server-Seed: 1932799526
Game 00002: Roll: 35, Reward: 1.010204081632653, Nonce: 2, Client-Seed: 1337awesome, Server-Seed: 3770571925
Game 00003: Roll: 29, Reward: 1.010204081632653, Nonce: 3, Client-Seed: 1337awesome, Server-Seed: 3843571783
Game 00004: Roll: 23, Reward: 1.010204081632653, Nonce: 4, Client-Seed: 1337awesome, Server-Seed: 3768851849
Game 00005: Roll: 19, Reward: 1.010204081632653, Nonce: 5, Client-Seed: 1337awesome, Server-Seed: 503457604
Game 00006: Roll: 00, Reward: 1.010204081632653, Nonce: 6, Client-Seed: 1337awesome, Server-Seed: 3337480382
Game 00007: Roll: 92, Reward: 1.010204081632653, Nonce: 7, Client-Seed: 1337awesome, Server-Seed: 567900881
Game 00008: Roll: 80, Reward: 1.010204081632653, Nonce: 8, Client-Seed: 1337awesome, Server-Seed: 2927203185
Game 00009: Roll: 39, Reward: 1.010204081632653, Nonce: 9, Client-Seed: 1337awesome, Server-Seed: 823244868
Game 00010: Roll: 38, Reward: 1.010204081632653, Nonce: 10, Client-Seed: 1337awesome, Server-Seed: 108324733
Game 00011: Roll: 34, Reward: 1.010204081632653, Nonce: 11, Client-Seed: 1337awesome, Server-Seed: 3482646024
Game 00012: Roll: 28, Reward: 1.010204081632653, Nonce: 12, Client-Seed: 1337awesome, Server-Seed: 3025306040
Game 00013: Roll: 48, Reward: 1.010204081632653, Nonce: 13, Client-Seed: 1337awesome, Server-Seed: 3569577283
Game 00014: Roll: 06, Reward: 1.010204081632653, Nonce: 14, Client-Seed: 1337awesome, Server-Seed: 3448936969
Game 00015: Roll: 34, Reward: 1.010204081632653, Nonce: 15, Client-Seed: 1337awesome, Server-Seed: 2771911194
Game 00016: Roll: 40, Reward: 1.010204081632653, Nonce: 16, Client-Seed: 1337awesome, Server-Seed: 734942592
Game 00017: Roll: 23, Reward: 1.010204081632653, Nonce: 17, Client-Seed: 1337awesome, Server-Seed: 4073237332
Game 00018: Roll: 56, Reward: 1.010204081632653, Nonce: 18, Client-Seed: 1337awesome, Server-Seed: 2170740270
Game 00019: Roll: 09, Reward: 1.010204081632653, Nonce: 19, Client-Seed: 1337awesome, Server-Seed: 561399242
Game 00020: Roll: 39, Reward: 1.010204081632653, Nonce: 20, Client-Seed: 1337awesome, Server-Seed: 359452013
Game 00021: Roll: 10, Reward: 1.010204081632653, Nonce: 21, Client-Seed: 1337awesome, Server-Seed: 2142886630
Game 00022: Roll: 11, Reward: 1.010204081632653, Nonce: 22, Client-Seed: 1337awesome, Server-Seed: 2817283166
Game 00023: Roll: 02, Reward: 1.010204081632653, Nonce: 23, Client-Seed: 1337awesome, Server-Seed: 2049639736
Game 00024: Roll: 81, Reward: 1.010204081632653, Nonce: 24, Client-Seed: 1337awesome, Server-Seed: 3349975511
Game 00025: Roll: 20, Reward: 1.010204081632653, Nonce: 25, Client-Seed: 1337awesome, Server-Seed: 3225151485
Game 00026: Roll: 93, Reward: 1.010204081632653, Nonce: 26, Client-Seed: 1337awesome, Server-Seed: 3265779271
Game 00027: Roll: 34, Reward: 1.010204081632653, Nonce: 27, Client-Seed: 1337awesome, Server-Seed: 1983206051
Game 00028: Roll: 65, Reward: 1.010204081632653, Nonce: 28, Client-Seed: 1337awesome, Server-Seed: 1094428922
Game 00029: Roll: 65, Reward: 1.010204081632653, Nonce: 29, Client-Seed: 1337awesome, Server-Seed: 3038725656
Game 00030: Roll: 99, Reward: 0, Nonce: 30, Client-Seed: 1337awesome, Server-Seed: 3400800185
Game 00031: Roll: 45, Reward: 1.010204081632653, Nonce: 31, Client-Seed: 1337awesome, Server-Seed: 133383863
Game 00032: Roll: 61, Reward: 1.010204081632653, Nonce: 32, Client-Seed: 1337awesome, Server-Seed: 2419965245
Game 00033: Roll: 33, Reward: 1.010204081632653, Nonce: 33, Client-Seed: 1337awesome, Server-Seed: 2258420503
Game 00034: Roll: 79, Reward: 1.010204081632653, Nonce: 34, Client-Seed: 1337awesome, Server-Seed: 1265434511
Game 00035: Roll: 90, Reward: 1.010204081632653, Nonce: 35, Client-Seed: 1337awesome, Server-Seed: 4026713500
Game 00036: Roll: 39, Reward: 1.010204081632653, Nonce: 36, Client-Seed: 1337awesome, Server-Seed: 2393124982
Game 00037: Roll: 83, Reward: 1.010204081632653, Nonce: 37, Client-Seed: 1337awesome, Server-Seed: 116620480
Game 00038: Roll: 50, Reward: 1.010204081632653, Nonce: 38, Client-Seed: 1337awesome, Server-Seed: 3367367534
Game 00039: Roll: 53, Reward: 1.010204081632653, Nonce: 39, Client-Seed: 1337awesome, Server-Seed: 2306708003
Game 00040: Roll: 63, Reward: 1.010204081632653, Nonce: 40, Client-Seed: 1337awesome, Server-Seed: 3133710535
Game 00041: Roll: 92, Reward: 1.010204081632653, Nonce: 41, Client-Seed: 1337awesome, Server-Seed: 1101602011
Game 00042: Roll: 20, Reward: 1.010204081632653, Nonce: 42, Client-Seed: 1337awesome, Server-Seed: 89322688
Game 00043: Roll: 32, Reward: 1.010204081632653, Nonce: 43, Client-Seed: 1337awesome, Server-Seed: 616696771
Game 00044: Roll: 50, Reward: 1.010204081632653, Nonce: 44, Client-Seed: 1337awesome, Server-Seed: 3290004300
Game 00045: Roll: 33, Reward: 1.010204081632653, Nonce: 45, Client-Seed: 1337awesome, Server-Seed: 3461162749
Game 00046: Roll: 40, Reward: 1.010204081632653, Nonce: 46, Client-Seed: 1337awesome, Server-Seed: 387201849
Game 00047: Roll: 35, Reward: 1.010204081632653, Nonce: 47, Client-Seed: 1337awesome, Server-Seed: 3991460546
Game 00048: Roll: 56, Reward: 1.010204081632653, Nonce: 48, Client-Seed: 1337awesome, Server-Seed: 2600933353
Game 00049: Roll: 71, Reward: 1.010204081632653, Nonce: 49, Client-Seed: 1337awesome, Server-Seed: 4211228140
Game 00050: Roll: 30, Reward: 1.010204081632653, Nonce: 50, Client-Seed: 1337awesome, Server-Seed: 751853273
Game 00051: Roll: 44, Reward: 1.010204081632653, Nonce: 51, Client-Seed: 1337awesome, Server-Seed: 1899980920
Game 00052: Roll: 97, Reward: 1.010204081632653, Nonce: 52, Client-Seed: 1337awesome, Server-Seed: 1384327587
Game 00053: Roll: 29, Reward: 1.010204081632653, Nonce: 53, Client-Seed: 1337awesome, Server-Seed: 3641905161
Game 00054: Roll: 20, Reward: 1.010204081632653, Nonce: 54, Client-Seed: 1337awesome, Server-Seed: 3413054348
Game 00055: Roll: 73, Reward: 1.010204081632653, Nonce: 55, Client-Seed: 1337awesome, Server-Seed: 1083349549
Game 00056: Roll: 38, Reward: 1.010204081632653, Nonce: 56, Client-Seed: 1337awesome, Server-Seed: 3489380288
Game 00057: Roll: 86, Reward: 1.010204081632653, Nonce: 57, Client-Seed: 1337awesome, Server-Seed: 2640587888
Game 00058: Roll: 70, Reward: 1.010204081632653, Nonce: 58, Client-Seed: 1337awesome, Server-Seed: 1104560894
Game 00059: Roll: 23, Reward: 1.010204081632653, Nonce: 59, Client-Seed: 1337awesome, Server-Seed: 680847248
Game 00060: Roll: 40, Reward: 1.010204081632653, Nonce: 60, Client-Seed: 1337awesome, Server-Seed: 905088689
Game 00061: Roll: 87, Reward: 1.010204081632653, Nonce: 61, Client-Seed: 1337awesome, Server-Seed: 342358366
Game 00062: Roll: 92, Reward: 1.010204081632653, Nonce: 62, Client-Seed: 1337awesome, Server-Seed: 909420825
Game 00063: Roll: 41, Reward: 1.010204081632653, Nonce: 63, Client-Seed: 1337awesome, Server-Seed: 467885543
Game 00064: Roll: 33, Reward: 1.010204081632653, Nonce: 64, Client-Seed: 1337awesome, Server-Seed: 318632200
Game 00065: Roll: 97, Reward: 1.010204081632653, Nonce: 65, Client-Seed: 1337awesome, Server-Seed: 1205556462
Game 00066: Roll: 66, Reward: 1.010204081632653, Nonce: 66, Client-Seed: 1337awesome, Server-Seed: 62257292
Game 00067: Roll: 60, Reward: 1.010204081632653, Nonce: 67, Client-Seed: 1337awesome, Server-Seed: 1513770572
Game 00068: Roll: 02, Reward: 1.010204081632653, Nonce: 68, Client-Seed: 1337awesome, Server-Seed: 3353773807
Game 00069: Roll: 60, Reward: 1.010204081632653, Nonce: 69, Client-Seed: 1337awesome, Server-Seed: 1156066734
Game 00070: Roll: 11, Reward: 1.010204081632653, Nonce: 70, Client-Seed: 1337awesome, Server-Seed: 2753527533
Game 00071: Roll: 99, Reward: 0, Nonce: 71, Client-Seed: 1337awesome, Server-Seed: 1958188806
Game 00072: Roll: 27, Reward: 1.010204081632653, Nonce: 72, Client-Seed: 1337awesome, Server-Seed: 4094101957
Game 00073: Roll: 28, Reward: 1.010204081632653, Nonce: 73, Client-Seed: 1337awesome, Server-Seed: 3029139163
